5 ns: U U UUU UUU UU
15 ns: U U UUU UUU UU
25 ns: 1 1 000 000 00
35 ns: 1 1 000 000 00
45 ns: 1 1 000 000 00
55 ns: 1 1 000 000 00
65 ns: 1 1 000 000 00
75 ns: 1 1 000 000 00
85 ns: 1 1 000 000 00
95 ns: 1 1 000 000 00
105 ns: 1 1 000 000 00
115 ns: 1 1 000 000 00
125 ns: 1 1 000 000 00
135 ns: 1 1 000 000 00
145 ns: 1 1 000 000 00
155 ns: 1 1 000 000 00
165 ns: 1 1 000 000 00
175 ns: 1 1 000 000 00
185 ns: 1 1 000 000 00
195 ns: 1 1 000 000 00
205 ns: 1 1 000 000 00
215 ns: 1 1 000 000 00
225 ns: 1 1 000 000 00
235 ns: 1 1 000 000 00
245 ns: 1 1 000 000 00
255 ns: 1 1 000 000 00
265 ns: 1 1 000 000 00
275 ns: 1 1 000 000 00
285 ns: 1 1 000 000 00
295 ns: 1 1 000 000 00
305 ns: 1 1 000 000 00
315 ns: 1 1 000 000 00
325 ns: 1 1 000 000 00
335 ns: 1 1 000 000 00
345 ns: 1 1 000 000 00
355 ns: 1 1 000 000 00
365 ns: 1 1 000 000 00
375 ns: 1 1 000 000 00
385 ns: 1 1 000 000 00
395 ns: 1 1 000 000 00
405 ns: 1 1 000 000 00
415 ns: 1 1 000 000 00
425 ns: 1 1 000 000 00
435 ns: 1 1 000 000 00
445 ns: 1 1 000 000 00
455 ns: 1 1 000 000 00
465 ns: 1 1 000 000 00
475 ns: 1 1 000 000 00
485 ns: 1 1 000 000 00
495 ns: 1 1 000 000 00
505 ns: 1 1 000 000 00
515 ns: 1 1 000 000 00
525 ns: 1 1 000 000 00
535 ns: 1 1 000 000 00
545 ns: 1 1 000 000 00
555 ns: 1 1 000 000 00
565 ns: 1 1 000 000 00
575 ns: 1 1 000 000 00
585 ns: 1 1 000 000 00
595 ns: 1 1 000 000 00
605 ns: 1 1 000 000 00
615 ns: 1 1 000 000 00
625 ns: 1 1 000 000 00
635 ns: 1 1 000 000 00
645 ns: 0 1 000 000 00
655 ns: 0 1 000 000 00
665 ns: 0 1 000 000 00
675 ns: 0 1 000 000 00
685 ns: 0 1 000 000 00
695 ns: 0 1 000 000 00
705 ns: 0 1 000 000 00
715 ns: 0 1 000 000 00
725 ns: 0 1 000 000 00
735 ns: 0 1 000 000 00
745 ns: 0 1 000 000 00
755 ns: 0 1 000 000 00
765 ns: 0 1 000 000 00
775 ns: 0 1 000 000 00
785 ns: 0 1 000 000 00
795 ns: 0 1 000 000 00
805 ns: 0 1 000 000 00
815 ns: 0 1 000 000 00
825 ns: 0 1 000 000 00
835 ns: 0 1 000 000 00
845 ns: 0 1 000 000 00
855 ns: 0 1 000 000 00
865 ns: 0 1 000 000 00
875 ns: 0 1 000 000 00
885 ns: 0 1 000 000 00
895 ns: 0 1 000 000 00
905 ns: 0 1 000 000 00
915 ns: 0 1 000 000 00
925 ns: 0 1 000 000 00
935 ns: 0 1 000 000 00
945 ns: 0 1 000 000 00
955 ns: 0 1 000 000 00
965 ns: 0 1 000 000 00
975 ns: 0 1 000 000 00
985 ns: 0 1 000 000 00
995 ns: 0 1 000 000 00
